V1,V2,V3,V4,V5,V7,V8,V9,V10,Intro,Q54,Q55,Syn1: A,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Syn1: N,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Syn2: A,Q59_1,Q59_2,Q59_3,Q59_4,Q59_5,Syn2: N,Q60_1,Q60_2,Q60_3,Q60_4,Q60_5,Syn3: A,Q61_1,Q61_2,Q61_3,Q61_4,Q61_5,Syn3: N,Q62_1,Q62_2,Q62_3,Q62_4,Q62_5,Emo1: A,Q63_1,Q63_2,Q63_3,Q63_4,Q63_5,Emo1: N,Q64_1,Q64_2,Q64_3,Q64_4,Q64_5,Emo2: A,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Emo2: N,Q66_1,Q66_2,Q66_3,Q66_4,Q66_5,Emo3: A,Q67_1,Q67_2,Q67_3,Q67_4,Q67_5,Emo3: N,Q68_1,Q68_2,Q68_3,Q68_4,Q68_5,Lex1: A,Q69_1,Q69_2,Q69_3,Q69_4,Q69_5,Lex1: N,Q70_1,Q70_2,Q70_3,Q70_4,Q70_5,Lex2: A,Q71_1,Q71_2,Q71_3,Q71_4,Q71_5,Lex2: N,Q72_1,Q72_2,Q72_3,Q72_4,Q72_5,Lex3: A,Q73_1,Q73_2,Q73_3,Q73_4,Q73_5,Lex3: N,Q74_1,Q74_2,Q74_3,Q74_4,Q74_5,Spac1: A,Q75_1,Q75_2,Q75_3,Q75_4,Q75_5,Spac1: N,Q76_1,Q76_2,Q76_3,Q76_4,Q76_5,Spac2: A,Q77_1,Q77_2,Q77_3,Q77_4,Q77_5,Spac2: N,Q78_1,Q78_2,Q78_3,Q78_4,Q78_5,Spac3: N,Q79_1,Q79_2,Q79_3,Q79_4,Q79_5,Spac3: A,Q80_1,Q80_2,Q80_3,Q80_4,Q80_5,Q56
R_OHB6wZUyQGkSbQZ,Default Response Set,Anonymous,,,0,10/22/15 16:58,10/22/15 17:07,1,1,1,1981,,,,,,,1,5,5,5,5,4,,,,,,,1,4,5,5,5,4,1,3,3,3,3,2,,,,,,,1,5,5,6,4,4,,,,,,,1,5,5,5,4,4,,,,,,,,,,,,,1,2,2,3,2,2,,,,,,,1,5,5,6,6,5,1,5,4,5,6,4,,,,,,,,,,,,,1,3,2,3,2,4,,,,,,,1,4,3,4,3,4,1,4,4,5,4,4,,,,,,,,,,,,,1,4,5,5,5,4,1
R_AtX1pp4A2dQsHmh,Default Response Set,Anonymous,,,0,10/22/15 16:58,10/22/15 17:08,1,1,2,1955,,,,,,,1,5,5,5,5,5,1,5,5,5,5,5,,,,,,,1,5,5,5,5,5,,,,,,,,,,,,,1,3,3,3,3,3,,,,,,,1,4,4,4,4,4,,,,,,,1,4,4,4,4,4,,,,,,,1,5,5,5,5,5,1,6,6,6,6,6,,,,,,,,,,,,,1,2,2,2,2,3,,,,,,,1,5,5,5,5,5,,,,,,,1,5,5,5,5,5,1,5,5,5,5,5,,,,,,,1
R_1j81BfT3ePEUsz9,Default Response Set,Anonymous,,,0,10/22/15 16:58,10/22/15 17:08,1,1,2,1975,,,,,,,1,5,6,6,6,6,,,,,,,1,5,5,5,5,5,,,,,,,1,3,1,3,2,3,,,,,,,1,2,1,2,2,2,,,,,,,1,2,2,3,2,2,,,,,,,1,2,1,2,2,2,1,4,5,5,6,5,,,,,,,,,,,,,1,5,5,6,6,6,,,,,,,1,1,1,1,1,1,1,4,2,5,3,4,,,,,,,,,,,,,1,4,3,5,4,3,1,4,3,5,4,4,,,,,,,1
R_br9slwZUv35y62t,Default Response Set,Anonymous,,,0,10/22/15 16:57,10/22/15 17:08,1,1,2,1990,,,,,,,1,5,4,6,7,6,,,,,,,1,4,5,6,5,5,,,,,,,1,2,4,4,3,3,,,,,,,1,1,2,3,3,4,1,4,5,6,5,4,,,,,,,,,,,,,1,1,3,4,4,3,,,,,,,1,4,6,7,7,6,1,4,5,7,7,7,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,1,4,3,5,4,4,,,,,,,1,3,4,5,4,4,1,2,4,6,4,4,,,,,,,1
R_12muEGGoKPR54C9,Default Response Set,Anonymous,,,0,10/22/15 16:57,10/22/15 17:09,1,1,1,1983,,,,,,,1,5,5,5,5,5,,,,,,,1,3,4,6,5,4,1,4,4,5,5,5,,,,,,,1,4,4,6,4,4,,,,,,,1,3,3,5,5,4,,,,,,,1,2,2,6,3,4,,,,,,,1,5,5,5,5,5,,,,,,,,,,,,,1,3,3,3,3,3,1,1,1,2,1,1,,,,,,,,,,,,,1,2,2,2,2,2,,,,,,,1,2,2,6,4,5,,,,,,,1,2,2,5,4,4,1
R_2aaTHHDoWe72oad,Default Response Set,Anonymous,,,0,10/22/15 17:01,10/22/15 17:09,1,1,1,1985,1,4,5,5,6,4,,,,,,,,,,,,,1,4,5,5,6,6,,,,,,,1,5,6,5,4,4,1,4,5,5,6,6,,,,,,,,,,,,,1,4,5,5,6,6,1,6,5,5,5,4,,,,,,,1,4,3,3,4,5,,,,,,,,,,,,,1,3,4,4,5,5,,,,,,,1,4,5,5,6,6,1,4,5,5,6,6,,,,,,,1,5,6,5,5,4,,,,,,,1,4,5,5,6,6,,,,,,,1
R_3pgauJwoQ0dtPMF,Default Response Set,Anonymous,,,0,10/22/15 17:00,10/22/15 17:09,1,1,1,1972,1,7,7,7,5,6,,,,,,,1,5,6,6,6,4,,,,,,,,,,,,,1,5,4,6,4,4,1,4,3,4,3,2,,,,,,,,,,,,,1,2,2,3,2,1,1,4,3,4,4,2,,,,,,,1,7,7,6,6,5,,,,,,,1,6,7,7,7,5,,,,,,,,,,,,,1,4,3,5,2,2,,,,,,,1,4,2,3,2,2,,,,,,,1,5,5,6,5,3,1,6,6,7,5,4,,,,,,,1
R_1eItfzrBEGsLmsD,Default Response Set,Anonymous,,,0,10/22/15 16:58,10/22/15 17:09,1,1,1,1980,,,,,,,1,6,5,6,6,6,1,5,4,5,5,4,,,,,,,,,,,,,1,4,3,6,4,5,1,5,5,6,5,7,,,,,,,1,4,5,6,6,7,,,,,,,,,,,,,1,2,2,4,3,6,1,6,6,7,7,7,,,,,,,1,5,5,6,4,6,,,,,,,,,,,,,1,2,2,3,1,2,,,,,,,1,4,4,6,5,5,1,4,3,6,4,5,,,,,,,,,,,,,1,4,4,4,5,4,1
R_O6SKo2mdzvStahP,Default Response Set,Anonymous,,,0,10/22/15 16:58,10/22/15 17:11,1,1,1,1985,1,7,7,7,7,6,,,,,,,,,,,,,1,4,4,5,5,4,1,3,2,4,3,4,,,,,,,1,4,4,5,5,3,,,,,,,1,5,4,6,6,5,,,,,,,,,,,,,1,1,1,2,2,3,,,,,,,1,6,5,5,6,4,1,5,5,5,6,5,,,,,,,,,,,,,1,2,1,1,1,2,,,,,,,1,5,4,6,5,5,1,2,2,5,3,3,,,,,,,1,4,3,5,4,4,,,,,,,1
R_sicHPRA0Xm5ijdv,Default Response Set,Anonymous,,,0,10/22/15 16:59,10/22/15 17:11,1,1,1,1987,,,,,,,1,4,5,3,4,5,1,2,4,5,4,4,,,,,,,1,2,3,2,3,3,,,,,,,1,3,4,4,3,4,,,,,,,,,,,,,1,1,1,2,2,1,1,3,2,3,2,3,,,,,,,1,5,3,4,5,4,,,,,,,,,,,,,1,3,2,3,2,2,1,2,1,1,1,1,,,,,,,1,3,4,3,2,3,,,,,,,,,,,,,1,2,4,6,3,3,1,4,6,6,5,7,,,,,,,1
R_31ElGkRyhlIBZ7z,Default Response Set,Anonymous,,,0,10/22/15 16:57,10/22/15 17:12,1,1,1,1992,1,6,5,6,6,6,,,,,,,,,,,,,1,5,6,5,5,4,1,3,3,4,4,3,,,,,,,,,,,,,1,2,1,2,1,1,1,5,6,6,6,5,,,,,,,,,,,,,1,4,3,4,4,3,,,,,,,1,3,2,6,6,5,1,5,4,5,4,4,,,,,,,,,,,,,1,4,4,5,5,3,,,,,,,1,4,4,5,5,4,,,,,,,1,5,5,6,6,5,,,,,,,1,5,6,6,5,5,1
R_1OZRgVQSq7pnwqE,Default Response Set,Anonymous,,,0,10/22/15 17:00,10/22/15 17:12,1,1,1,1989,,,,,,,1,4,4,4,4,4,1,4,4,4,5,4,,,,,,,,,,,,,1,4,4,4,5,4,,,,,,,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,,,,,,,1,6,6,6,6,6,,,,,,,1,3,3,4,4,3,1,1,1,1,1,1,,,,,,,,,,,,,1,2,2,2,2,2,,,,,,,1,4,4,4,4,4,,,,,,,1,4,4,4,4,4,1
