V1,V2,V3,V4,V5,V7,V8,V9,V10,Intro,Q54,Q55,Syn1: A,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Syn1: N,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Syn2: A,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Syn2: N,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Syn3: A,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Syn3: N,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Emo1: A,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Emo1: N,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Emo2: A,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Emo2: N,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Emo3: A,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Emo3: N,Q40_1,Q40_2,Q40_3,Q40_4,Q40_5,Q40_6,Lex1: A,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Lex1: N,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,Q42_6,Lex2: A,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Lex2: N,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Lex3: A,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Lex3: N,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Spac1: A,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Spac1: N,Q48_1,Q48_2,Q48_3,Q48_4,Q48_5,Q48_6,Spac2: A,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Spac2: N,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,Spac3: N,Q52_1,Q52_2,Q52_3,Q52_4,Q52_5,Q52_6,Spac3: A,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q56
R_PNjVBhs5SEq2n5v,Default Response Set,Anonymous,,,0,7/27/15 14:20,7/27/15 14:30,1,1,2,1979,,,,,,,,1,6,6,6,6,6,6,1,5,5,5,5,5,5,,,,,,,,,,,,,,,1,3,3,4,4,4,4,1,6,6,6,6,6,6,,,,,,,,,,,,,,,1,3,3,4,4,4,4,,,,,,,,1,4,4,4,4,4,4,,,,,,,,1,6,6,6,6,6,6,1,6,6,6,6,6,6,,,,,,,,,,,,,,,1,5,5,5,5,5,5,1,5,5,5,5,5,5,,,,,,,,1,4,4,5,4,4,4,,,,,,,,,,,,,,,1,5,5,5,5,5,5,1
R_1NyT3QyQVR9mPE5,Default Response Set,Anonymous,,,0,7/27/15 14:22,7/27/15 14:30,1,1,1,1987,1,5,4,5,5,4,6,,,,,,,,,,,,,,,1,5,5,4,5,4,5,,,,,,,,1,3,2,3,2,4,3,,,,,,,,1,2,3,3,2,2,3,,,,,,,,1,3,2,3,3,2,2,1,5,4,4,3,3,4,,,,,,,,,,,,,,,1,4,5,5,4,5,5,1,5,6,6,7,6,7,,,,,,,,,,,,,,,1,2,3,3,1,1,2,1,3,4,5,2,2,4,,,,,,,,1,4,3,6,4,4,5,,,,,,,,1,5,6,6,5,5,6,,,,,,,,1
R_3n2XR08COlTc7Hf,Default Response Set,Anonymous,,,0,7/27/15 14:21,7/27/15 14:30,1,1,2,1990,,,,,,,,1,5,5,6,5,6,5,1,4,3,5,4,5,5,,,,,,,,,,,,,,,1,5,2,5,5,4,5,,,,,,,,1,5,5,4,3,5,4,,,,,,,,1,4,4,6,5,6,6,,,,,,,,1,5,4,4,4,3,4,,,,,,,,1,5,4,3,6,4,4,,,,,,,,1,4,4,5,3,6,4,,,,,,,,1,6,5,4,4,5,6,1,4,6,4,5,5,5,,,,,,,,1,3,4,6,4,5,5,,,,,,,,,,,,,,,1,3,4,5,6,4,4,1
R_wObFAiQobqx8abv,Default Response Set,Anonymous,,,0,7/27/15 14:19,7/27/15 14:33,1,1,1,1982,1,3,2,5,4,3,3,,,,,,,,,,,,,,,1,4,5,6,6,5,6,1,4,2,6,4,6,4,,,,,,,,,,,,,,,1,5,3,6,4,5,4,1,5,4,7,6,5,6,,,,,,,,,,,,,,,1,5,4,6,3,2,4,,,,,,,,1,3,4,6,5,4,5,1,3,4,5,5,4,5,,,,,,,,1,1,1,3,2,3,2,,,,,,,,1,4,3,6,4,5,5,,,,,,,,,,,,,,,1,3,2,6,3,4,3,,,,,,,,1,3,4,6,4,3,4,1
R_1hAvhJp8AsoTybj,Default Response Set,Anonymous,,,0,7/27/15 14:25,7/27/15 14:35,1,1,1,1985,1,3,3,2,3,3,3,,,,,,,,,,,,,,,1,3,4,3,3,3,3,,,,,,,,1,2,2,2,2,2,3,,,,,,,,1,3,3,2,4,3,4,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,6,7,6,6,5,6,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,6,7,6,7,7,6,1,6,7,5,6,5,5,,,,,,,,1,3,4,3,3,3,4,,,,,,,,1,5,5,3,3,4,5,,,,,,,,1
R_2P1nxrCZLaFWyDS,Default Response Set,Anonymous,,,0,7/27/15 14:24,7/27/15 14:35,1,1,1,1996,,,,,,,,1,2,3,4,4,3,5,1,5,6,6,6,5,6,,,,,,,,,,,,,,,1,3,4,6,3,4,3,,,,,,,,1,1,1,5,2,3,1,1,6,5,4,5,6,6,,,,,,,,,,,,,,,1,2,1,6,2,3,3,1,6,7,6,5,4,6,,,,,,,,,,,,,,,1,7,6,6,7,4,6,1,4,3,4,2,4,3,,,,,,,,,,,,,,,1,6,5,2,5,4,5,,,,,,,,1,2,2,5,4,5,6,1,5,4,5,4,3,6,,,,,,,,1
R_1LvQOJd59MuP1zw,Default Response Set,Anonymous,,,0,7/27/15 14:22,7/27/15 14:35,1,1,1,1982,,,,,,,,1,4,5,5,5,5,5,,,,,,,,1,4,5,5,5,4,5,,,,,,,,1,5,5,5,5,4,4,,,,,,,,1,2,3,3,3,3,2,1,6,6,6,6,6,6,,,,,,,,,,,,,,,1,4,4,4,4,3,4,1,5,5,6,5,5,6,,,,,,,,,,,,,,,1,5,5,5,6,5,5,1,3,3,2,3,2,3,,,,,,,,,,,,,,,1,4,4,5,4,3,4,,,,,,,,1,6,6,6,6,6,6,1,5,6,6,6,6,6,,,,,,,,1
R_sSaakCr4C3gHwJj,Default Response Set,Anonymous,,,0,7/27/15 14:19,7/27/15 14:35,1,1,2,1957,,,,,,,,1,5,5,5,5,5,6,1,4,4,4,5,3,4,,,,,,,,1,2,2,4,3,2,4,,,,,,,,1,3,6,5,5,6,5,,,,,,,,,,,,,,,1,1,1,3,1,1,2,1,2,4,4,4,5,5,,,,,,,,,,,,,,,1,5,5,5,6,4,5,1,3,5,5,6,6,5,,,,,,,,1,1,1,1,1,1,3,,,,,,,,,,,,,,,1,4,3,4,3,4,2,,,,,,,,1,2,1,4,4,3,4,,,,,,,,1,2,4,3,4,2,3,1
R_WkPtjrmxaL6fRCN,Default Response Set,Anonymous,,,0,7/27/15 14:24,7/27/15 14:37,1,1,1,1985,1,6,5,6,6,5,6,,,,,,,,1,3,3,6,3,4,5,,,,,,,,1,5,3,6,4,6,6,,,,,,,,1,3,4,2,3,2,2,,,,,,,,,,,,,,,1,4,6,3,5,5,4,1,4,3,1,3,2,2,,,,,,,,,,,,,,,1,3,3,2,4,3,3,1,3,2,2,3,3,2,,,,,,,,,,,,,,,1,5,6,3,5,4,4,1,4,3,2,3,3,3,,,,,,,,1,3,3,1,2,2,2,,,,,,,,,,,,,,,1,4,3,2,3,2,3,1
R_296rvtG4K2ebhCQ,Default Response Set,Anonymous,,,0,7/27/15 14:30,7/27/15 14:38,1,1,2,1989,1,3,3,2,2,1,2,,,,,,,,,,,,,,,1,2,4,3,2,1,2,1,1,1,1,1,1,3,,,,,,,,,,,,,,,1,1,1,2,1,1,1,,,,,,,,1,1,1,2,1,1,1,1,1,1,6,4,5,1,,,,,,,,1,4,6,7,6,3,5,,,,,,,,,,,,,,,1,5,7,6,7,3,5,,,,,,,,1,1,1,2,1,1,1,1,1,1,3,1,1,2,,,,,,,,,,,,,,,1,1,2,5,1,1,1,,,,,,,,1,1,3,5,1,1,1,1
R_3CtQpxGgIc8qRtT,Default Response Set,Anonymous,,,0,7/27/15 14:32,7/27/15 14:38,1,1,1,1978,,,,,,,,1,4,4,4,4,4,5,1,5,5,5,5,5,5,,,,,,,,1,4,4,5,4,4,4,,,,,,,,1,5,5,5,5,5,5,,,,,,,,1,5,5,5,5,5,5,,,,,,,,1,4,4,4,4,4,4,,,,,,,,,,,,,,,1,6,6,6,6,6,6,,,,,,,,1,7,7,7,7,7,7,,,,,,,,1,3,3,3,3,3,3,1,3,3,3,3,3,3,,,,,,,,1,5,5,5,5,5,5,,,,,,,,1,6,6,6,6,6,6,,,,,,,,1
R_erOaJrrkPY5cKKR,Default Response Set,Anonymous,,,0,7/27/15 14:34,7/27/15 14:39,1,1,1,1978,,,,,,,,1,4,4,5,5,5,5,,,,,,,,1,6,6,6,5,5,6,,,,,,,,1,5,4,4,5,4,4,,,,,,,,1,2,2,2,2,2,2,1,4,4,4,4,4,4,,,,,,,,,,,,,,,1,5,2,1,4,6,5,,,,,,,,1,7,7,7,7,7,7,,,,,,,,1,6,6,6,6,6,6,,,,,,,,1,3,2,2,3,3,1,,,,,,,,1,4,4,4,4,4,3,,,,,,,,1,5,5,6,4,4,4,,,,,,,,1,6,6,5,6,6,6,1
R_3DnLjogwJSGKvby,Default Response Set,Anonymous,,,0,7/27/15 14:27,7/27/15 14:39,1,1,2,1984,,,,,,,,1,6,6,6,6,6,6,,,,,,,,1,5,6,7,4,6,5,,,,,,,,1,5,5,5,5,5,5,1,4,4,7,4,6,4,,,,,,,,1,5,5,7,5,6,4,,,,,,,,1,6,6,6,4,6,4,,,,,,,,,,,,,,,1,6,6,6,6,6,6,1,6,6,6,6,6,6,,,,,,,,,,,,,,,1,2,2,2,2,2,2,,,,,,,,1,2,2,4,2,2,2,,,,,,,,1,6,6,6,6,6,4,,,,,,,,1,3,3,6,3,6,4,1
R_1pXbRgMmhK3kLAy,Default Response Set,Anonymous,,,0,7/27/15 14:27,7/27/15 14:40,1,1,1,1958,,,,,,,,1,6,7,7,6,5,7,1,6,5,7,7,6,6,,,,,,,,1,5,4,4,2,5,4,,,,,,,,1,6,6,7,5,6,5,,,,,,,,,,,,,,,1,5,2,5,3,2,3,,,,,,,,1,4,3,5,3,6,4,1,6,7,7,7,5,6,,,,,,,,1,6,7,7,7,6,7,,,,,,,,1,1,1,2,1,3,2,,,,,,,,,,,,,,,1,4,2,5,3,4,4,,,,,,,,1,3,5,7,4,6,5,,,,,,,,1,6,5,7,6,6,5,1
R_5oKHziTmDsh1N0R,Default Response Set,Anonymous,,,0,7/27/15 14:36,7/27/15 14:42,1,1,1,1984,,,,,,,,1,1,2,1,1,1,1,,,,,,,,1,2,4,4,4,4,4,,,,,,,,1,1,2,2,2,2,2,1,2,5,5,5,5,5,,,,,,,,,,,,,,,1,2,2,3,2,2,2,,,,,,,,1,2,3,3,3,3,3,1,2,4,4,5,4,4,,,,,,,,1,3,2,2,2,2,2,,,,,,,,,,,,,,,1,2,3,4,4,3,4,,,,,,,,1,2,2,4,2,2,3,,,,,,,,1,4,2,6,3,3,3,1,2,4,4,4,4,4,,,,,,,,1
R_2z8zyhUjq4zMsFV,Default Response Set,Anonymous,,,0,7/27/15 14:26,7/27/15 14:43,1,1,1,1980,1,5,4,3,6,5,6,,,,,,,,,,,,,,,1,5,5,6,7,7,6,1,5,6,5,5,4,4,,,,,,,,1,5,5,6,7,7,7,,,,,,,,,,,,,,,1,7,6,7,7,6,7,1,7,6,6,7,6,7,,,,,,,,,,,,,,,1,5,6,6,6,7,6,,,,,,,,1,3,5,3,4,6,6,1,7,5,6,7,7,7,,,,,,,,,,,,,,,1,6,6,3,5,5,6,1,3,4,5,6,7,6,,,,,,,,1,4,6,5,6,5,4,,,,,,,,1
R_2tagQyQj3M0nn8J,Default Response Set,Anonymous,,,0,7/27/15 14:32,7/27/15 14:46,1,1,2,1978,1,5,5,7,6,7,6,,,,,,,,1,6,7,7,6,6,7,,,,,,,,,,,,,,,1,3,3,5,4,6,4,1,5,5,6,5,7,6,,,,,,,,1,4,4,6,4,7,5,,,,,,,,1,6,6,7,6,7,7,,,,,,,,1,6,7,7,7,7,7,,,,,,,,1,6,7,7,7,7,7,,,,,,,,,,,,,,,1,3,3,4,3,4,3,,,,,,,,1,4,4,6,4,6,5,,,,,,,,1,6,6,7,7,7,6,1,6,7,7,7,7,7,,,,,,,,1
R_3NP0w0tz3MU65rS,Default Response Set,Anonymous,,,0,7/27/15 14:39,7/27/15 14:48,1,1,1,1974,,,,,,,,1,1,1,1,1,1,1,1,5,6,7,6,5,5,,,,,,,,,,,,,,,1,1,1,3,2,1,1,1,3,5,5,4,2,6,,,,,,,,,,,,,,,1,7,7,5,5,6,,,,,,,,,1,1,1,3,1,1,1,,,,,,,,1,4,5,6,5,4,4,,,,,,,,1,2,3,4,5,3,6,1,1,1,1,1,1,1,,,,,,,,1,5,6,3,7,6,6,,,,,,,,1,1,1,3,1,1,1,,,,,,,,1,2,1,1,2,3,3,,,,,,,,1
R_2CpKsyKGmIE6dix,Default Response Set,Anonymous,,,0,7/27/15 14:28,7/27/15 14:49,1,1,2,1992,1,5,4,5,4,3,4,,,,,,,,1,6,5,6,6,5,6,,,,,,,,,,,,,,,1,5,4,5,5,4,6,,,,,,,,1,4,3,3,2,4,3,1,4,3,4,4,3,4,,,,,,,,,,,,,,,1,5,3,5,4,5,5,1,4,3,5,4,3,4,,,,,,,,,,,,,,,1,5,4,4,6,4,5,1,7,5,6,6,6,5,,,,,,,,,,,,,,,1,6,4,5,5,4,5,,,,,,,,1,6,4,5,4,3,5,,,,,,,,1,5,4,6,6,6,7,1
R_BsKrrKcD99JSgSJ,Default Response Set,Anonymous,,,0,7/27/15 14:44,7/27/15 14:52,1,1,2,1987,,,,,,,,1,1,1,1,1,1,1,1,7,7,7,7,7,7,,,,,,,,,,,,,,,1,3,3,1,2,1,3,,,,,,,,1,7,7,7,7,7,7,1,1,1,1,1,1,1,,,,,,,,1,6,7,7,7,7,6,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,7,7,7,7,7,7,,,,,,,,1,4,4,2,3,3,4,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1
R_1QEBRvFFV8LecOh,Default Response Set,Anonymous,,,0,7/27/15 14:39,7/27/15 14:53,1,1,1,1983,,,,,,,,1,4,4,5,4,4,6,,,,,,,,1,5,4,5,5,6,4,1,4,5,5,4,5,5,,,,,,,,,,,,,,,1,4,5,4,5,4,5,1,5,5,5,5,5,5,,,,,,,,,,,,,,,1,3,3,4,4,6,3,1,6,5,5,5,5,6,,,,,,,,,,,,,,,1,5,5,4,4,5,5,,,,,,,,1,4,3,3,4,4,5,,,,,,,,1,4,3,4,4,4,5,1,3,3,3,4,4,5,,,,,,,,,,,,,,,1,4,4,5,4,5,4,1
R_1f790xrHMPLxxSe,Default Response Set,Anonymous,,,0,7/27/15 14:40,7/27/15 14:53,1,1,1,1987,1,2,2,1,2,2,2,,,,,,,,1,2,1,1,1,1,1,,,,,,,,1,4,3,4,4,4,4,,,,,,,,,,,,,,,1,7,7,7,6,6,7,,,,,,,,1,5,4,5,5,5,5,,,,,,,,1,7,7,7,7,6,7,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,2,2,3,2,2,2,,,,,,,,1,4,5,4,4,4,5,,,,,,,,1,3,4,3,3,3,3,,,,,,,,1,3,2,2,2,2,3,1,3,1,2,2,2,2,,,,,,,,1
R_3oHC8DrRAiYfrQ9,Default Response Set,Anonymous,,,0,7/27/15 14:39,7/27/15 14:57,1,1,1,1992,1,3,3,2,3,5,3,,,,,,,,1,5,6,5,5,3,5,,,,,,,,,,,,,,,1,4,5,2,4,5,4,,,,,,,,1,6,7,6,7,7,7,1,4,4,4,3,4,3,,,,,,,,1,4,5,6,4,5,3,,,,,,,,,,,,,,,1,3,4,2,2,5,3,,,,,,,,1,2,2,1,1,2,1,1,6,7,6,7,7,5,,,,,,,,,,,,,,,1,5,5,3,4,5,4,1,5,6,5,5,5,5,,,,,,,,,,,,,,,1,4,5,3,3,3,3,1
R_1MS1QeuRxsgyzVs,Default Response Set,Anonymous,,,0,7/27/15 14:47,7/27/15 14:57,1,1,2,1976,,,,,,,,1,6,6,6,6,6,5,,,,,,,,1,4,5,6,5,3,4,1,3,4,6,4,4,4,,,,,,,,1,6,6,7,5,5,4,,,,,,,,1,6,5,6,6,6,4,,,,,,,,1,3,4,6,3,5,4,,,,,,,,,,,,,,,1,5,6,6,6,4,5,1,6,6,7,7,7,7,,,,,,,,1,2,1,1,1,1,2,,,,,,,,,,,,,,,1,4,3,6,5,5,4,,,,,,,,1,6,6,7,6,6,4,1,5,6,6,5,5,4,,,,,,,,1
R_3ER3vdE5M3RaMjI,Default Response Set,Anonymous,,,0,7/27/15 14:42,7/27/15 14:57,1,1,1,1984,,,,,,,,1,4,4,3,3,3,3,,,,,,,,1,3,3,2,3,3,2,,,,,,,,1,3,3,2,3,2,3,,,,,,,,1,6,6,4,4,4,4,,,,,,,,1,5,4,3,6,6,6,,,,,,,,1,6,6,4,4,4,4,1,2,1,1,1,1,2,,,,,,,,1,2,2,1,2,1,2,,,,,,,,,,,,,,,1,3,3,2,4,2,4,1,4,4,2,4,3,3,,,,,,,,1,3,3,1,1,1,3,,,,,,,,,,,,,,,1,3,3,2,3,2,3,1
R_3KuqOZM2D6F1wQu,Default Response Set,Anonymous,,,0,7/27/15 14:58,7/27/15 15:03,1,1,2,1993,1,3,3,3,3,3,3,,,,,,,,1,6,6,6,6,6,6,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,2,2,2,2,2,2,,,,,,,,1,3,3,3,3,3,3,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,1,3,1,4,4,4,4,,,,,,,,1,3,3,3,3,3,3,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,4,4,4,4,4,4,,,,,,,,1
R_1DweKz2bWqGVpdo,Default Response Set,Anonymous,,,0,7/27/15 14:20,7/27/15 15:08,1,1,1,1981,,,,,,,,1,4,4,5,5,4,5,,,,,,,,1,5,4,5,5,5,5,1,5,5,5,4,5,4,,,,,,,,1,5,5,6,5,5,5,,,,,,,,,,,,,,,1,3,2,3,3,2,2,,,,,,,,1,4,3,4,4,5,4,1,4,5,6,6,4,6,,,,,,,,1,5,5,6,6,5,6,,,,,,,,,,,,,,,1,3,4,4,3,3,3,1,3,3,5,4,4,4,,,,,,,,,,,,,,,1,4,5,6,5,5,5,1,6,4,6,5,5,6,,,,,,,,1
R_SDAljGtFOMpy7vz,Default Response Set,Anonymous,,,0,7/27/15 14:53,7/27/15 15:09,1,1,2,1975,,,,,,,,1,7,7,7,7,7,7,,,,,,,,1,7,7,7,7,7,7,1,1,1,1,1,1,1,,,,,,,,1,4,4,4,4,4,4,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,7,7,7,7,7,7,,,,,,,,,,,,,,,1,7,7,7,7,7,7,,,,,,,,1,7,7,7,7,7,7,,,,,,,,1,4,4,4,4,4,4,1,4,4,4,4,4,4,,,,,,,,1,7,7,7,7,7,7,,,,,,,,1
R_1d5YN2N4zP7sr0g,Default Response Set,Anonymous,,,0,7/27/15 14:51,7/27/15 15:09,1,1,1,1993,,,,,,,,1,4,4,4,4,4,4,1,6,6,6,6,6,6,,,,,,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,1,6,6,6,6,6,6,1,6,6,6,6,6,6,,,,,,,,,,,,,,,1,5,5,5,5,5,5,1,7,7,7,7,7,7,,,,,,,,,,,,,,,1,4,4,4,4,4,4,,,,,,,,1,3,3,3,3,3,3,,,,,,,,1,6,6,6,6,6,6,,,,,,,,1,5,5,5,5,5,5,,,,,,,,1,5,5,5,5,5,5,1
R_1FyXHtc1Z8z0egh,Default Response Set,Anonymous,,,0,7/27/15 15:04,7/27/15 15:10,1,1,2,1984,,,,,,,,1,5,5,5,5,5,5,,,,,,,,1,3,6,6,6,6,6,,,,,,,,1,5,4,5,4,6,4,,,,,,,,1,2,3,5,3,6,4,,,,,,,,1,1,1,1,1,1,1,1,4,4,5,4,5,4,,,,,,,,,,,,,,,1,6,6,6,6,6,6,,,,,,,,1,6,6,6,6,6,6,,,,,,,,1,3,3,4,2,3,2,1,3,3,5,4,4,3,,,,,,,,1,4,4,4,4,4,4,,,,,,,,,,,,,,,1,5,5,5,5,5,5,1
R_2BkBPVVNRP7scZP,Default Response Set,Anonymous,,,0,7/27/15 15:02,7/27/15 15:12,1,1,2,1975,1,6,6,6,6,6,6,,,,,,,,,,,,,,,1,6,6,6,6,6,6,,,,,,,,1,4,4,5,4,4,4,1,6,6,6,6,6,6,,,,,,,,1,5,5,5,5,5,5,,,,,,,,1,4,4,6,4,5,4,,,,,,,,1,6,6,6,6,6,6,,,,,,,,,,,,,,,1,5,5,5,5,5,5,,,,,,,,1,5,5,5,5,5,5,1,5,5,5,5,5,5,,,,,,,,1,6,6,6,6,6,6,,,,,,,,,,,,,,,1,5,5,5,5,5,5,1
R_1oqlC9UvG3gg1Yz,Default Response Set,Anonymous,,,0,7/27/15 15:07,7/27/15 15:14,1,1,2,1993,1,5,6,5,6,6,6,,,,,,,,1,6,7,6,6,6,6,,,,,,,,,,,,,,,1,2,1,2,2,2,1,1,3,4,4,4,4,3,,,,,,,,1,5,6,6,6,5,6,,,,,,,,,,,,,,,1,2,1,3,2,2,1,1,7,7,7,7,7,7,,,,,,,,1,6,7,7,7,6,6,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,3,3,3,3,3,3,1,6,6,7,7,7,6,,,,,,,,,,,,,,,1,4,5,5,5,5,5,1
R_2c1OWcdFTeV8yPt,Default Response Set,Anonymous,,,0,7/27/15 15:06,7/27/15 15:16,1,1,1,1991,1,4,5,5,5,4,4,,,,,,,,1,3,2,2,3,2,2,,,,,,,,1,4,4,4,5,4,4,,,,,,,,,,,,,,,1,4,4,3,5,4,4,,,,,,,,1,2,3,2,3,2,3,1,3,3,1,3,1,4,,,,,,,,,,,,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,2,,,,,,,,1,7,7,7,7,7,5,,,,,,,,,,,,,,,1,2,2,1,3,3,3,,,,,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,2,,,,,,,,1
R_2E5oAaQ7WFLHuLX,Default Response Set,Anonymous,,,0,7/27/15 15:11,7/27/15 15:16,1,1,1,1991,1,2,1,1,1,2,2,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,3,2,1,2,2,3,1,2,1,1,3,1,2,,,,,,,,,,,,,,,1,6,5,3,5,6,5,,,,,,,,1,3,2,1,3,1,3,,,,,,,,1,1,1,1,1,2,1,,,,,,,,1,1,1,1,1,1,1,1,6,5,7,7,7,5,,,,,,,,1,3,2,1,2,2,4,,,,,,,,1,2,2,1,2,3,2,,,,,,,,1,1,2,1,1,2,2,,,,,,,,1
R_22W83hiS8aJbnX2,Default Response Set,Anonymous,,,0,7/27/15 15:11,7/27/15 15:24,1,1,2,1984,,,,,,,,1,6,6,7,4,6,6,1,2,5,5,7,4,5,,,,,,,,1,2,2,4,3,4,4,,,,,,,,,,,,,,,1,6,4,6,4,5,4,1,4,3,6,4,5,4,,,,,,,,1,2,2,4,2,5,4,,,,,,,,1,6,5,6,5,7,5,,,,,,,,1,4,6,5,5,4,6,,,,,,,,1,2,1,3,1,2,3,,,,,,,,,,,,,,,1,3,3,6,4,5,4,1,3,4,5,4,4,4,,,,,,,,1,4,3,6,5,5,4,,,,,,,,1
R_3qm1lcm8EHbJZG9,Default Response Set,Anonymous,,,0,7/27/15 15:21,7/27/15 15:28,1,1,2,1980,,,,,,,,1,5,6,6,5,5,4,1,,5,6,6,5,6,,,,,,,,1,3,3,2,3,3,2,,,,,,,,1,5,6,6,5,6,6,,,,,,,,1,5,6,6,5,5,4,,,,,,,,1,6,6,5,6,6,5,,,,,,,,,,,,,,,1,5,6,6,5,6,6,1,6,5,6,6,5,6,,,,,,,,,,,,,,,1,3,3,2,3,3,2,1,5,6,5,5,6,6,,,,,,,,,,,,,,,1,5,6,6,5,6,6,1,5,6,6,5,6,6,,,,,,,,1
R_1GOL20Wyxo1FiVZ,Default Response Set,Anonymous,,,0,7/27/15 15:19,7/27/15 15:31,1,1,2,1990,1,1,1,1,1,1,1,,,,,,,,1,2,2,2,2,2,5,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,4,4,4,4,4,4,1,1,1,1,1,1,1,,,,,,,,1,7,7,7,7,7,7,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,4,1,1,1,,,,,,,,,,,,,,,1,1,1,4,1,1,1,1,2,2,4,2,2,3,,,,,,,,1
R_3p9ofeZdgGE3FWk,Default Response Set,Anonymous,,,0,7/27/15 15:29,7/27/15 15:33,1,1,2,1980,1,5,4,5,5,6,5,,,,,,,,1,6,6,5,6,5,5,,,,,,,,1,3,2,2,3,2,2,,,,,,,,1,6,6,5,6,5,5,,,,,,,,1,4,5,5,4,4,5,,,,,,,,1,5,4,4,5,4,4,,,,,,,,1,5,4,5,5,4,5,,,,,,,,,,,,,,,1,5,4,5,4,3,3,,,,,,,,1,4,4,3,2,4,3,,,,,,,,1,5,4,5,4,4,4,1,6,6,5,6,6,6,,,,,,,,1,5,5,6,5,4,5,,,,,,,,1
R_1Itj9IHUJKjQzZq,Default Response Set,Anonymous,,,0,7/27/15 15:20,7/27/15 15:39,1,1,2,1978,,,,,,,,1,7,7,7,7,7,7,,,,,,,,1,6,5,7,7,7,7,,,,,,,,1,5,5,7,6,6,7,1,5,7,7,6,7,7,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,3,2,1,6,6,7,7,7,7,,,,,,,,,,,,,,,1,7,7,7,7,7,7,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,3,3,6,4,4,5,,,,,,,,1,4,4,5,4,5,4,,,,,,,,1,4,5,7,7,7,7,1
R_2v7Cvl6NaNviCVg,Default Response Set,Anonymous,,,0,7/27/15 15:43,7/27/15 15:51,1,1,1,1990,1,5,5,5,4,6,6,,,,,,,,,,,,,,,1,6,6,6,6,6,6,,,,,,,,1,6,6,6,6,6,6,1,5,4,4,5,5,5,,,,,,,,1,4,3,4,5,3,3,,,,,,,,1,4,4,6,5,4,3,,,,,,,,,,,,,,,1,5,6,5,6,6,6,,,,,,,,1,4,5,4,6,4,4,,,,,,,,1,3,2,2,2,2,2,1,5,5,4,5,5,5,,,,,,,,1,5,6,6,6,6,6,,,,,,,,1,3,3,4,4,3,3,,,,,,,,1
